round	subject	mode	scenkey	scenario	rps	p50	p99	p999	status
1	ours(posixKqueue)	floor	_plaintext	-	31111.913299120515	0.543459	45.689916	112.37375	ok
1	ours(posixKqueue)	floor	_json	-	35216.027984673194	0.48208399999999996	35.813333	82.45070799999999	ok
1	ours(posixKqueue)	floor	_payload	-	36094.68959753947	0.517041	34.494292	63.815041	ok
1	ours(posixKqueue)	floor	_hello_world	-	35687.91250709616	0.5156660000000001	36.836166	72.06008299999999	ok
1	ours(posixKqueue)	floor	_echo	-	28672.947455620077	0.5140830000000001	52.902791	129.923708	ok
1	ours(posixKqueue)	full	_plaintext	-	32537.687903882626	0.579917	42.622292	92.75174999999999	ok
1	ours(posixKqueue)	full	_json	-	33472.90086723435	0.57275	37.609083	82.572291	ok
1	ours(posixKqueue)	full	_payload	-	31113.502445202008	0.603834	42.399167	93.990375	ok
1	ours(posixKqueue)	full	_hello_world	-	44992.83310321223	0.748542	13.771834	31.010541999999997	ok
1	ours(posixKqueue)	full	_echo	-	45252.0871892899	0.68925	14.426540999999999	27.451709	ok
2	ours(posixKqueue)	floor	_plaintext	-	44959.54377078873	0.569292	17.601708000000002	49.059582999999996	ok
2	ours(posixKqueue)	floor	_json	-	50680.97196503201	0.7075830000000001	11.14025	25.303292000000003	ok
2	ours(posixKqueue)	floor	_payload	-	43256.93159613404	0.728542	16.29925	56.179708000000005	ok
2	ours(posixKqueue)	floor	_hello_world	-	55244.95749689841	0.7949590000000001	7.651042	17.582917	ok
2	ours(posixKqueue)	floor	_echo	-	49833.654380209315	0.689666	10.120208	43.275708	ok
2	ours(posixKqueue)	full	_plaintext	-	25042.447277847798	0.771958	48.687333	170.42125	ok
2	ours(posixKqueue)	full	_json	-	28641.959379155724	0.683625	44.12025	94.374291	ok
2	ours(posixKqueue)	full	_payload	-	29535.13768690527	0.663833	41.507584	100.82125	ok
2	ours(posixKqueue)	full	_hello_world	-	28673.71063494714	0.645083	48.67033300000001	121.91479199999999	ok
2	ours(posixKqueue)	full	_echo	-	28268.648443674112	0.64625	44.761042	94.970458	ok
3	ours(posixKqueue)	floor	_plaintext	-	29320.692884647855	0.5323749999999999	51.122625	107.168	ok
3	ours(posixKqueue)	floor	_json	-	22646.991709133137	0.534458	80.936458	178.684833	ok
3	ours(posixKqueue)	floor	_payload	-	21267.75125122217	0.5769580000000001	80.42608299999999	181.011125	ok
3	ours(posixKqueue)	floor	_hello_world	-	19398.841165646918	0.5173340000000001	96.929791	189.122333	ok
3	ours(posixKqueue)	floor	_echo	-	17284.025223875346	0.519292	103.36120799999999	274.09854099999995	ok
3	ours(posixKqueue)	full	_plaintext	-	14776.020252886563	0.6385	150.725584	305.26158399999997	ok
3	ours(posixKqueue)	full	_json	-	19960.599336503325	0.616792	100.456667	219.56354100000001	ok
3	ours(posixKqueue)	full	_payload	-	17853.90712948885	0.595333	110.594	251.67258399999997	ok
3	ours(posixKqueue)	full	_hello_world	-	21690.649179915727	0.593708	85.817875	211.585625	ok
3	ours(posixKqueue)	full	_echo	-	22665.06932146195	0.5011669999999999	83.525667	185.567333	ok
4	ours(posixKqueue)	full	_plaintext	-	20986.181946787023	0.619625	86.560708	167.69129099999998	ok
4	ours(posixKqueue)	full	_json	-	20606.72985379517	0.6041249999999999	96.533833	201.561042	ok
4	ours(posixKqueue)	full	_payload	-	19268.580522648335	0.61875	103.78875	220.15966600000002	ok
4	ours(posixKqueue)	full	_hello_world	-	19048.344724207087	0.628375	101.78845799999999	216.210583	ok
4	ours(posixKqueue)	full	_echo	-	19410.70680545856	0.573291	100.297292	224.32225	ok
4	ours(posixKqueue)	floor	_plaintext	-	24404.65394623632	0.46279200000000004	76.873125	181.880291	ok
4	ours(posixKqueue)	floor	_json	-	27084.763414351855	0.469375	59.5885	133.026584	ok
4	ours(posixKqueue)	floor	_payload	-	24970.10634715296	0.380542	73.148458	159.513625	ok
