round	subject	mode	scenkey	scenario	rps	p50	p99	p999	status
1	ours(swiftSystem)	full	_plaintext	-	35999.361684665884	0.754	22.512500000000003	46.393958	ok
1	ours(swiftSystem)	full	_json	-	37308.2675116009	0.616125	23.045375	90.182708	ok
1	ours(swiftSystem)	full	_payload	-	25935.28788645869	0.509417	60.671707999999995	175.81270800000001	ok
1	ours(swiftSystem)	full	_hello_world	-	19472.489340427433	0.526542	90.233125	246.48600000000002	ok
1	ours(swiftSystem)	full	_echo	-	24087.162969227258	0.588625	66.852583	148.09270899999999	ok
1	ours(swiftSystem)	floor	_plaintext	-	33455.598943281686	0.5213340000000001	37.523084	84.527333	ok
1	ours(swiftSystem)	floor	_json	-	35119.22110654733	0.528834	35.952167	82.530375	ok
1	ours(swiftSystem)	floor	_payload	-	35313.828122712184	0.513666	36.351042	81.69575	ok
1	ours(swiftSystem)	floor	_hello_world	-	33761.724581318216	0.512667	39.8435	84.838667	ok
1	ours(swiftSystem)	floor	_echo	-	29579.31386415016	0.458625	51.730875000000005	110.858791	ok
1	bun	floor	_plaintext	-	13728.64664179425	1.9686249999999998	43.67575	76.104083	ok
1	bun	floor	_json	-	27242.616728288576	1.8764999999999998	6.612959	64.95345900000001	ok
1	bun	floor	_payload	-	41090.70708804068	1.4705840000000001	3.146959	4.294959	ok
1	bun	floor	_hello_world	-	40931.67754344347	1.470042	3.15875	4.119125	ok
1	bun	floor	_echo	-	37638.15787484865	1.6043749999999999	3.355375	3.812458	ok
1	hummingbird	floor	_plaintext	-	45164.97002454867	0.552958	14.717042	39.309667	ok
1	hummingbird	floor	_json	-	47403.079032838876	0.5521659999999999	14.194791	31.651917	ok
1	hummingbird	floor	_payload	-	43441.98869062986	0.537625	15.963542	41.529292000000005	ok
1	hummingbird	floor	_hello_world	-	45113.194597378555	0.559416	15.002417000000001	36.648958	ok
1	hummingbird	floor	_echo	-	38693.579671962776	0.580833	19.657709	48.93	ok
1	rust	floor	_plaintext	-	59906.83113748233	0.9985829999999999	2.79125	7.976749999999999	ok
1	rust	floor	_json	-	59915.92166044703	0.994333	3.007625	9.870000000000001	ok
1	rust	floor	_payload	-	58988.31933434844	0.9705	4.0344999999999995	13.036875	ok
