root	ours(posixKqueue)	51723	0.816	8.403	16.763
_json	ours(posixKqueue)	50312	0.854	7.776	13.840
_payload	ours(posixKqueue)	43447	0.944	10.986	23.368
_hello_world	ours(posixKqueue)	42064	0.725	15.372	49.743
_echo	ours(posixKqueue)	50856	0.854	7.938	16.393
root	ours(swiftSystem)	49414	0.892	7.945	14.999
_json	ours(swiftSystem)	49656	0.861	8.393	16.551
_payload	ours(swiftSystem)	45797	1.009	7.925	16.147
_hello_world	ours(swiftSystem)	50331	0.852	8.109	18.575
_echo	ours(swiftSystem)	50723	0.904	7.749	15.685
root	nginx	40418	1.455	3.383	18.856
_json	nginx	41329	1.503	2.437	3.643
_payload	nginx	21463	1.848	26.982	87.003
_hello_world	nginx	32561	1.722	7.021	22.360
_echo	nginx	N/A	-	-	-
root	rust	33804	0.667	29.528	84.852
_json	rust	29333	0.632	36.601	93.806
_payload	rust	36741	0.594	26.423	77.270
_hello_world	rust	54559	0.840	8.203	19.571
_echo	rust	51160	0.790	10.601	28.740
root	go	36433	0.514	25.965	64.117
_json	go	46287	0.654	13.524	38.974
_payload	go	50840	0.665	10.459	19.354
_hello_world	go	49339	0.666	11.526	24.638
_echo	go	44950	0.592	14.221	41.909
root	bun	31153	1.823	4.958	13.510
_json	bun	35321	1.674	3.761	4.592
_payload	bun	34692	1.698	3.834	4.964
_hello_world	bun	30460	1.874	5.112	13.284
_echo	bun	31635	1.829	4.482	11.427
root	hummingbird	45950	0.638	13.365	26.310
_json	hummingbird	44030	0.598	14.663	29.569
_payload	hummingbird	44234	0.607	14.794	30.439
_hello_world	hummingbird	42314	0.581	16.689	33.564
_echo	hummingbird	40472	0.583	17.667	37.499
root	vapor	41733	0.786	9.827	19.043
_json	vapor	44469	0.805	8.241	15.888
_payload	vapor	45456	0.780	7.908	14.359
_hello_world	vapor	43131	0.885	7.953	14.800
_echo	vapor	46843	0.788	7.506	14.700
root	ours(posixKqueue)	53478	0.867	6.656	12.010
_json	ours(posixKqueue)	50555	0.879	7.957	16.551
_payload	ours(posixKqueue)	46083	1.032	7.617	14.988
_hello_world	ours(posixKqueue)	49041	0.868	8.153	17.565
_echo	ours(posixKqueue)	51148	0.916	6.934	12.327
root	ours(swiftSystem)	41548	0.747	15.780	41.998
_json	ours(swiftSystem)	41523	0.704	16.680	36.185
_payload	ours(swiftSystem)	38611	0.924	14.778	27.649
_hello_world	ours(swiftSystem)	41096	0.739	17.039	35.597
_echo	ours(swiftSystem)	43520	0.749	14.059	59.079
root	nginx	31377	1.711	7.188	48.104
_json	nginx	39302	1.485	4.849	14.240
_payload	nginx	28317	1.632	12.820	54.036
_hello_world	nginx	26473	2.193	6.550	26.290
_echo	nginx	N/A	-	-	-
root	rust	46560	0.684	17.791	49.034
_json	rust	54437	0.835	7.859	20.276
_payload	rust	50962	0.824	10.219	32.622
