root	ours(posixKqueue)	50794	0.861	8.316	15.587
_json	ours(posixKqueue)	52533	0.836	7.638	14.718
_payload	ours(posixKqueue)	48301	0.978	7.334	14.508
_hello_world	ours(posixKqueue)	51155	0.847	7.998	15.345
_echo	ours(posixKqueue)	51968	0.785	8.348	17.244
root	ours(swiftSystem)	48994	0.829	8.825	18.459
_json	ours(swiftSystem)	51076	0.848	8.092	15.619
_payload	ours(swiftSystem)	48265	0.966	7.603	15.488
_hello_world	ours(swiftSystem)	52597	0.851	7.263	13.024
_echo	ours(swiftSystem)	53256	0.839	7.206	12.447
root	nginx	46640	1.361	1.955	2.918
_json	nginx	44130	1.411	2.348	3.262
_payload	nginx	45797	1.384	2.005	2.950
_hello_world	nginx	45878	1.385	1.964	2.994
_echo	nginx	N/A	-	-	-
root	rust	59168	0.997	3.309	7.514
_json	rust	59186	1.027	2.437	6.816
_payload	rust	58707	1.011	3.249	6.106
_hello_world	rust	56847	0.990	4.723	13.025
_echo	rust	54967	0.872	7.455	16.014
root	go	49075	0.620	12.878	23.192
_json	go	50986	0.718	10.228	21.078
_payload	go	50127	0.688	10.780	19.720
_hello_world	go	48677	0.671	12.236	26.187
_echo	go	50434	0.711	9.510	17.354
root	bun	31079	1.824	5.222	11.348
_json	bun	34454	1.668	4.249	11.525
_payload	bun	21743	2.558	7.243	21.998
_hello_world	bun	28476	1.901	6.836	14.861
_echo	bun	31664	1.744	6.465	15.384
root	hummingbird	30741	0.570	29.534	69.139
_json	hummingbird	32290	0.575	26.576	52.837
_payload	hummingbird	16738	0.560	69.094	130.375
_hello_world	hummingbird	17898	0.530	71.219	140.872
_echo	hummingbird	13308	0.641	101.757	210.173
root	vapor	15029	0.597	97.479	186.530
_json	vapor	17177	0.571	80.516	167.901
_payload	vapor	19638	0.719	50.803	97.544
_hello_world	vapor	12802	0.682	108.309	229.615
_echo	vapor	14151	0.559	106.371	252.741
root	ours(posixKqueue)	26564	0.662	49.086	134.857
_json	ours(posixKqueue)	23032	0.597	71.383	175.930
_payload	ours(posixKqueue)	16441	0.819	122.627	231.967
_hello_world	ours(posixKqueue)	10506	0.485	195.044	505.613
_echo	ours(posixKqueue)	24120	0.568	70.586	154.579
root	ours(swiftSystem)	36613	0.686	24.236	63.898
_json	ours(swiftSystem)	31354	0.591	40.330	99.285
_payload	ours(swiftSystem)	36653	0.947	15.834	40.860
_hello_world	ours(swiftSystem)	35966	0.770	21.084	48.547
_echo	ours(swiftSystem)	38765	0.744	17.704	49.191
root	nginx	31124	1.770	5.487	23.836
_json	nginx	20778	1.988	39.461	135.389
_payload	nginx	8445	1.852	117.218	202.806
_hello_world	nginx	27177	1.818	14.319	63.080
_echo	nginx	N/A	-	-	-
root	rust	36620	0.646	26.998	69.803
_json	rust	35334	0.598	33.187	81.036
_payload	rust	32772	0.602	35.534	92.076
_hello_world	rust	40550	0.652	20.717	61.140
_echo	rust	24204	0.649	51.243	122.293
root	go	32227	0.491	31.756	81.350
_json	go	33410	0.636	24.143	54.606
_payload	go	43567	0.580	16.654	34.969
_hello_world	go	43063	0.586	15.825	37.124
_echo	go	38678	0.626	16.116	63.095
root	bun	22440	2.309	9.701	77.268
_json	bun	13492	2.475	61.113	209.740
_payload	bun	15078	2.485	41.748	196.081
_hello_world	bun	16353	2.576	37.099	94.138
_echo	bun	15574	2.301	46.267	110.431
root	hummingbird	17558	0.524	72.689	139.232
_json	hummingbird	19792	0.551	61.100	129.104
_payload	hummingbird	18457	0.553	69.618	149.413
_hello_world	hummingbird	14301	0.616	86.853	229.213
_echo	hummingbird	18079	0.530	74.576	142.050
root	vapor	16039	0.570	95.219	190.420
_json	vapor	17897	0.564	68.771	163.004
_payload	vapor	25943	0.663	29.710	71.605
_hello_world	vapor	23702	0.747	30.590	120.735
_echo	vapor	22470	0.542	47.684	116.181
root	ours(posixKqueue)	24115	0.606	71.009	136.438
_json	ours(posixKqueue)	31473	0.704	32.180	90.931
_payload	ours(posixKqueue)	34898	0.942	17.641	53.132
_hello_world	ours(posixKqueue)	35031	0.785	22.872	61.939
_echo	ours(posixKqueue)	36653	0.698	21.626	70.649
root	ours(swiftSystem)	31310	0.639	32.974	118.887
_json	ours(swiftSystem)	31553	0.692	30.205	78.094
_payload	ours(swiftSystem)	29521	0.901	28.780	81.374
_hello_world	ours(swiftSystem)	39746	0.713	18.616	42.558
_echo	ours(swiftSystem)	22758	0.634	68.296	156.725
root	nginx	14406	1.994	56.036	107.211
_json	nginx	25977	2.042	7.668	52.368
_payload	nginx	16843	2.100	37.061	103.704
_hello_world	nginx	22647	2.138	15.748	52.985
_echo	nginx	N/A	-	-	-
root	rust	45193	0.712	14.906	39.577
_json	rust	33606	0.615	32.148	75.466
_payload	rust	37421	0.548	29.295	72.163
