root	ours(posixKqueue)	44270	0.790	12.664	25.015
_json	ours(posixKqueue)	41195	0.789	15.107	31.250
_payload	ours(posixKqueue)	38653	1.047	12.633	25.679
_hello_world	ours(posixKqueue)	45624	0.802	11.615	21.253
_echo	ours(posixKqueue)	47346	0.783	10.887	21.258
root	ours(swiftSystem)	50174	0.817	8.674	15.562
_json	ours(swiftSystem)	46995	0.833	10.252	20.282
_payload	ours(swiftSystem)	42508	1.052	9.188	18.046
_hello_world	ours(swiftSystem)	49887	0.906	7.708	14.388
_echo	ours(swiftSystem)	52551	0.816	8.130	19.677
root	nginx	46094	1.357	2.232	2.970
_json	nginx	40902	1.487	3.065	5.000
_payload	nginx	40529	1.508	3.027	5.726
_hello_world	nginx	38697	1.500	4.169	15.944
_echo	nginx	N/A	-	-	-
root	rust	43529	0.576	20.224	47.227
_json	rust	56692	1.005	3.597	13.034
_payload	rust	57497	1.020	3.091	7.314
_hello_world	rust	58380	0.975	3.790	9.785
_echo	rust	57214	0.962	4.617	10.116
root	go	52648	0.827	7.427	14.730
_json	go	55524	0.838	6.510	13.014
_payload	go	53073	0.835	7.409	14.813
_hello_world	go	55470	0.859	6.478	13.823
_echo	go	55243	0.861	6.209	13.082
root	bun	40459	1.498	3.212	4.029
_json	bun	39207	1.530	3.337	4.152
_payload	bun	37725	1.578	3.508	4.828
_hello_world	bun	37543	1.581	3.514	4.520
_echo	bun	35726	1.667	3.675	4.635
root	hummingbird	47722	0.572	12.717	25.365
_json	hummingbird	45542	0.577	14.332	27.505
_payload	hummingbird	47720	0.570	13.229	28.078
_hello_world	hummingbird	47774	0.556	13.286	27.234
_echo	hummingbird	47518	0.578	13.481	26.749
root	vapor	49465	0.799	6.755	12.699
_json	vapor	41636	0.729	11.540	40.753
_payload	vapor	40726	0.729	11.238	21.981
_hello_world	vapor	40812	0.887	9.036	17.310
_echo	vapor	33624	0.698	17.584	96.453
root	ours(posixKqueue)	47031	0.754	11.781	25.573
_json	ours(posixKqueue)	46250	0.772	10.963	46.627
_payload	ours(posixKqueue)	36751	0.872	17.372	57.085
_hello_world	ours(posixKqueue)	34291	0.703	17.917	122.442
_echo	ours(posixKqueue)	25966	0.542	62.561	145.121
root	ours(swiftSystem)	39514	0.740	18.425	45.444
